atc_A	atc_class_name_A	atc_B	atc_class_name_B	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_N1
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	166003545	19011662	0.1145	0.0976	2.604
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	162352750	9243561	0.0569	0.0955	1.824
C03	Diuretics	C10	Lipid modifying agents	104608302	2126945	0.0203	0.0615	1.437
C07	Beta blocking agents	C10	Lipid modifying agents	101934086	5119238	0.0502	0.06	1.908
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	95263613	2875667	0.0302	0.056	2.035
N02	Analgesics	R05	Cough and cold preparations	92193155	9713909	0.1054	0.0542	5.473
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	86593616	6457767	0.0746	0.0509	2.699
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	83090211	3994802	0.0481	0.0489	1.57
C03	Diuretics	C07	Beta blocking agents	82742769	4199953	0.0508	0.0487	2.162
A10	Drugs used in diabetes	C10	Lipid modifying agents	81423085	5209391	0.064	0.0479	1.348
N05	Psycholeptics	N06	Psychoanaleptics	73854768	10900442	0.1476	0.0434	1.512
C10	Lipid modifying agents	N06	Psychoanaleptics	73616451	4710281	0.064	0.0433	0.698
A02	Drugs for acid related disorders	C10	Lipid modifying agents	67035918	3693243	0.0551	0.0394	1.38
C08	Calcium channel blockers	C10	Lipid modifying agents	65835003	2596714	0.0394	0.0387	1.797
C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	64228132	2186917	0.034	0.0378	0.695
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	59142931	1703331	0.0288	0.0348	1.39
C03	Diuretics	C08	Calcium channel blockers	57455483	1682008	0.0293	0.0338	2.19
N02	Analgesics	N06	Psychoanaleptics	55683123	2674105	0.048	0.0328	0.972
A02	Drugs for acid related disorders	N06	Psychoanaleptics	51727537	3383090	0.0654	0.0304	1.026
C03	Diuretics	N06	Psychoanaleptics	51105666	1248427	0.0244	0.0301	0.676
A10	Drugs used in diabetes	C03	Diuretics	49523599	576609	0.0116	0.0291	1.145
C10	Lipid modifying agents	H03	Thyroid therapy	47540688	3903502	0.0821	0.028	1.182
N03	Antiepileptics	N06	Psychoanaleptics	45723330	5027839	0.11	0.0269	1.587
A02	Drugs for acid related disorders	C03	Diuretics	45193153	687061	0.0152	0.0266	1.299
C07	Beta blocking agents	N06	Psychoanaleptics	44768337	1913102	0.0427	0.0263	0.807
C07	Beta blocking agents	C08	Calcium channel blockers	44472734	1281862	0.0288	0.0262	2.309
N02	Analgesics	N05	Psycholeptics	42079505	1051397	0.025	0.0248	1.648
A02	Drugs for acid related disorders	C07	Beta blocking agents	41614820	1149443	0.0276	0.0245	1.629
G03	Sex hormones and modulators of the genital system	N06	Psychoanaleptics	41447761	9286016	0.224	0.0244	0.46
C09	Agents acting on the renin-angiotensin system	H03	Thyroid therapy	40892525	1592847	0.039	0.0241	1.16
C09	Agents acting on the renin-angiotensin system	N02	Analgesics	40822311	306901	0.0075	0.024	0.845
R01	Nasal preparations	R03	Drugs for obstructive airway diseases	39988664	7793137	0.1949	0.0235	3.63
A10	Drugs used in diabetes	C07	Beta blocking agents	39925852	672593	0.0168	0.0235	1.257
C10	Lipid modifying agents	N02	Analgesics	39733929	432764	0.0109	0.0234	0.72
C10	Lipid modifying agents	N05	Psycholeptics	39681334	1396029	0.0352	0.0233	0.843
B01	Antithrombotic agents	C10	Lipid modifying agents	39600971	1124828	0.0284	0.0233	2.351
H03	Thyroid therapy	N06	Psychoanaleptics	39365732	4163675	0.1058	0.0232	0.943
J01	Antibacterials for systemic use	R05	Cough and cold preparations	37966577	1571223	0.0414	0.0223	1.901
C09	Agents acting on the renin-angiotensin system	N05	Psycholeptics	36144950	731374	0.0202	0.0213	0.877
J01	Antibacterials for systemic use	N02	Analgesics	34599156	1095648	0.0317	0.0204	0.974
B01	Antithrombotic agents	C07	Beta blocking agents	34370434	666248	0.0194	0.0202	3.881
C03	Diuretics	H03	Thyroid therapy	34327836	1099807	0.032	0.0202	1.191
C03	Diuretics	N02	Analgesics	33603918	204167	0.0061	0.0198	0.85
B01	Antithrombotic agents	C09	Agents acting on the renin-angiotensin system	32269163	373232	0.0116	0.019	2.187
J01	Antibacterials for systemic use	N06	Psychoanaleptics	31709155	3070593	0.0968	0.0187	0.467
A02	Drugs for acid related disorders	N02	Analgesics	31273948	433695	0.0139	0.0184	1.186
A02	Drugs for acid related disorders	N05	Psycholeptics	30509778	1039540	0.0341	0.0179	1.357
C07	Beta blocking agents	N02	Analgesics	30282352	396865	0.0131	0.0178	1.044
C10	Lipid modifying agents	G04	Urologicals	29986569	1735255	0.0579	0.0176	1.528
N06	Psychoanaleptics	R05	Cough and cold preparations	29555627	54251	0.0018	0.0174	0.917
A10	Drugs used in diabetes	C08	Calcium channel blockers	28866155	446112	0.0155	0.017	1.326
C03	Diuretics	N05	Psycholeptics	28863698	387910	0.0134	0.017	0.857
A10	Drugs used in diabetes	N06	Psychoanaleptics	28854643	1039158	0.036	0.017	0.46
N02	Analgesics	N03	Antiepileptics	28066127	756150	0.0269	0.0165	1.863
C07	Beta blocking agents	H03	Thyroid therapy	27769410	1212879	0.0437	0.0163	1.313
C08	Calcium channel blockers	N06	Psychoanaleptics	27412625	697862	0.0255	0.0161	0.721
C07	Beta blocking agents	N05	Psycholeptics	27408202	724735	0.0264	0.0161	1.108
N03	Antiepileptics	N05	Psycholeptics	27133216	1659501	0.0612	0.016	2.112
C10	Lipid modifying agents	J01	Antibacterials for systemic use	27066230	1056430	0.039	0.0159	0.414
A02	Drugs for acid related disorders	C08	Calcium channel blockers	27032031	565893	0.0209	0.0159	1.544
C09	Agents acting on the renin-angiotensin system	J01	Antibacterials for systemic use	26796605	642363	0.024	0.0158	0.468
C09	Agents acting on the renin-angiotensin system	G04	Urologicals	26070015	752991	0.0289	0.0153	1.517
C10	Lipid modifying agents	N03	Antiepileptics	25168388	684971	0.0272	0.0148	0.907
A02	Drugs for acid related disorders	H03	Thyroid therapy	24801713	1333672	0.0538	0.0146	1.29
N05	Psycholeptics	R05	Cough and cold preparations	24672158	21228	9e-04	0.0145	1.717
A02	Drugs for acid related disorders	A10	Drugs used in diabetes	24502620	542496	0.0221	0.0144	0.848
M01	Anti-inflammatory and antirheumatic products	N02	Analgesics	24306145	1158956	0.0477	0.0143	2.113
C10	Lipid modifying agents	R01	Nasal preparations	24096572	874799	0.0363	0.0142	0.803
C09	Agents acting on the renin-angiotensin system	R05	Cough and cold preparations	23846782	18070	8e-04	0.014	0.877
M03	Muscle relaxants	N02	Analgesics	23798563	679087	0.0285	0.014	3.662
C10	Lipid modifying agents	R03	Drugs for obstructive airway diseases	23662679	550701	0.0233	0.0139	0.634
N06	Psychoanaleptics	R03	Drugs for obstructive airway diseases	23326571	1425848	0.0611	0.0137	0.602
N06	Psychoanaleptics	R01	Nasal preparations	22974414	1421768	0.0619	0.0135	0.737
