atc_A	atc_class_name_A	atc_B	atc_class_name_B	atc_C	atc_class_name_C	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	75518106	7219111	0.0956	0.0444	4.844	1.861
C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	56449942	2807339	0.0497	0.0332	4.933	2.423
A10	Drugs used in diabetes	C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	54457635	5551450	0.1019	0.032	4.21	2.308
C03	Diuretics	C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	50176012	3425847	0.0683	0.0295	6.121	2.351
C03	Diuretics	C07	Beta blocking agents	C10	Lipid modifying agents	42863529	1704888	0.0398	0.0252	4.58	2.119
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	42632038	2718525	0.0638	0.0251	5.435	2.014
C03	Diuretics	C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	41389037	3959169	0.0957	0.0243	7.366	2.729
A10	Drugs used in diabetes	C03	Diuretics	C09	Agents acting on the renin-angiotensin system	38717635	2186003	0.0565	0.0228	4.178	1.605
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	32469255	1091393	0.0336	0.0191	3.121	1.711
C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	N06	Psychoanaleptics	31893768	1032078	0.0324	0.0188	1.412	0.774
A10	Drugs used in diabetes	C03	Diuretics	C10	Lipid modifying agents	31489631	331921	0.0105	0.0185	2.977	2.071
C03	Diuretics	C09	Agents acting on the renin-angiotensin system	N06	Psychoanaleptics	30782197	1874702	0.0609	0.0181	1.902	0.731
A02	Drugs for acid related disorders	C03	Diuretics	C09	Agents acting on the renin-angiotensin system	28902962	1436506	0.0497	0.017	3.878	1.49
C03	Diuretics	C08	Calcium channel blockers	C10	Lipid modifying agents	28642595	631277	0.022	0.0168	4.465	2.039
C07	Beta blocking agents	C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	27862477	1103306	0.0396	0.0164	6.755	2.503
A10	Drugs used in diabetes	C07	Beta blocking agents	C10	Lipid modifying agents	27528879	658327	0.0239	0.0162	3.545	1.858
A10	Drugs used in diabetes	C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	26936030	487823	0.0181	0.0158	3.96	1.946
N02	Analgesics	N06	Psychoanaleptics	R05	Cough and cold preparations	25746000	1247137	0.0484	0.0151	6.021	1.1
C07	Beta blocking agents	C08	Calcium channel blockers	C10	Lipid modifying agents	24778875	717620	0.029	0.0146	5.262	2.279
B01	Antithrombotic agents	C07	Beta blocking agents	C10	Lipid modifying agents	24079920	1106316	0.0459	0.0142	11.12	2.865
A02	Drugs for acid related disorders	C07	Beta blocking agents	C10	Lipid modifying agents	23649688	708433	0.03	0.0139	3.786	1.985
A02	Drugs for acid related disorders	C03	Diuretics	C10	Lipid modifying agents	22925976	260148	0.0113	0.0135	2.694	1.875
B01	Antithrombotic agents	C09	Agents acting on the renin-angiotensin system	C10	Lipid modifying agents	22797496	556420	0.0244	0.0134	6.32	2.688
