drug_name_A	drug_name_B	drug_name_C	drug_name_D	drug_name_E	atleast_exposure_count	exact_exposure_count	estimate_drug_cost_per_day	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
hydrocodone	salmeterol	acetaminophen	albuterol	fluticasone	498823	8371	15.04	0.0168	3e-04	3398.424	12.095
hydrochlorothiazide	hydrocodone	lisinopril	simvastatin	acetaminophen	491033	13485	4.71	0.0275	3e-04	97.139	2.197
hydrochlorothiazide	hydrocodone	lisinopril	metformin	acetaminophen	457284	4655	4.99	0.0102	3e-04	126.288	2.856
hydrocodone	lisinopril	metformin	simvastatin	acetaminophen	364017	4201	5.06	0.0115	2e-04	148.854	3.39
hydrochlorothiazide	lisinopril	metformin	metoprolol	simvastatin	345378	18768	3.68	0.0543	2e-04	76.851	2.609
glipizide	hydrochlorothiazide	lisinopril	metformin	simvastatin	345377	33769	3.46	0.0978	2e-04	398.339	2.791
hydrochlorothiazide	hydrocodone	lisinopril	metoprolol	acetaminophen	344434	7397	4.48	0.0215	2e-04	94.011	2.126
amlodipine	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	340615	9486	5.03	0.0278	2e-04	89.325	2.02
amlodipine	hydrochlorothiazide	lisinopril	metformin	simvastatin	336976	19183	4.23	0.0569	2e-04	72.043	2.445
hydrochlorothiazide	hydrocodone	metformin	simvastatin	acetaminophen	324558	250	5.64	8e-04	2e-04	95.25	2.52
hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	thyroxine	319140	5948	4.16	0.0186	2e-04	56.028	1.267
hydrocodone	montelukast	salmeterol	acetaminophen	fluticasone	302968	3118	15.96	0.0103	2e-04	2135.432	7.6
hydrochlorothiazide	lisinopril	metformin	pioglitazone	simvastatin	299667	14487	8.9	0.0483	2e-04	348.601	2.776
hydrochlorothiazide	hydrocodone	lisinopril	omeprazole	acetaminophen	290917	5426	4.76	0.0187	2e-04	109.756	2.482
hydrocodone	lisinopril	metoprolol	simvastatin	acetaminophen	281447	3884	4.55	0.0138	2e-04	113.745	3.014
amlodipine	atorvastatin	hydrochlorothiazide	lisinopril	metformin	280875	14685	5.89	0.0523	2e-04	80.458	2.811
amlodipine	hydrochlorothiazide	hydrocodone	metoprolol	acetaminophen	273049	1119	5.45	0.0041	2e-04	104.987	2.374
atorvastatin	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	269508	5741	6.37	0.0213	2e-04	71.436	1.616
amlodipine	hydrochlorothiazide	hydrocodone	metformin	acetaminophen	269134	201	5.96	7e-04	2e-04	104.705	3.029
ezetimibe	hydrochlorothiazide	lisinopril	metformin	simvastatin	268794	11168	6.47	0.0415	2e-04	170.072	2.866
hydrochlorothiazide	hydrocodone	triamterene	acetaminophen	thyroxine	268450	3786	4.14	0.0141	2e-04	241.579	1.929
hydrochlorothiazide	hydrocodone	metoprolol	simvastatin	acetaminophen	268118	1272	5.13	0.0047	2e-04	77.767	2.061
montelukast	salmeterol	albuterol	fluticasone	ipratropium	267280	12036	19.5	0.045	2e-04	59328.244	8.237
amlodipine	atorvastatin	hydrochlorothiazide	metformin	metoprolol	259817	1388	6.31	0.0053	2e-04	109.121	3.51
hydrochlorothiazide	montelukast	salmeterol	albuterol	fluticasone	259511	1583	16.02	0.0061	2e-04	2049.121	1.306
alprazolam	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	258121	6581	4.24	0.0255	2e-04	156.643	2.947
gabapentin	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	257749	3669	5.42	0.0142	2e-04	239.928	2.849
amlodipine	hydrochlorothiazide	hydrocodone	simvastatin	acetaminophen	256974	950	5.68	0.0037	2e-04	71.613	2.071
amlodipine	hydrochlorothiazide	lisinopril	metformin	metoprolol	256762	6215	4	0.0242	2e-04	75.738	3.016
hydrochlorothiazide	lisinopril	metformin	simvastatin	thyroxine	254828	14382	3.36	0.0564	1e-04	36.472	1.238
amlodipine	hydrochlorothiazide	metformin	metoprolol	simvastatin	252778	1199	4.65	0.0047	1e-04	79.235	3.155
hydrochlorothiazide	hydrocodone	lisinopril	zolpidem	acetaminophen	250620	4599	5.06	0.0184	1e-04	136.999	2.97
amlodipine	benazepril	hydrochlorothiazide	hydrocodone	acetaminophen	249769	5225	6.32	0.0209	1e-04	295.277	1.869
hydrochlorothiazide	hydrocodone	salmeterol	acetaminophen	fluticasone	247572	309	13.76	0.0012	1e-04	401.031	1.427
amlodipine	hydrochlorothiazide	lisinopril	metoprolol	simvastatin	244940	24533	3.72	0.1002	1e-04	51.755	2.887
hydrocodone	salmeterol	acetaminophen	fluticasone	tiotropium	242200	1709	19.5	0.0071	1e-04	8979.407	12.888
ezetimibe	hydrochlorothiazide	hydrocodone	simvastatin	acetaminophen	236646	441	7.92	0.0019	1e-04	195.174	2.072
amlodipine	atorvastatin	hydrochlorothiazide	hydrocodone	acetaminophen	236274	744	7.34	0.0031	1e-04	88.223	2.504
cyclobenzaprine	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	235870	7233	4.49	0.0307	1e-04	270.528	3.26
atorvastatin	hydrochlorothiazide	lisinopril	metformin	metoprolol	231821	10418	5.34	0.0449	1e-04	69.115	2.735
hydrochlorothiazide	hydrocodone	simvastatin	acetaminophen	thyroxine	228187	572	4.81	0.0025	1e-04	42.571	1.657
amlodipine	hydrochlorothiazide	hydrocodone	valsartan	acetaminophen	227628	5241	7.79	0.023	1e-04	189.399	3.302
hydrochlorothiazide	lisinopril	salmeterol	albuterol	fluticasone	227328	10436	13.24	0.0459	1e-04	574.803	2.784
amlodipine	benazepril	hydrochlorothiazide	metformin	simvastatin	223497	8366	5.52	0.0374	1e-04	215.401	2.641
hydrochlorothiazide	hydrocodone	metformin	metoprolol	acetaminophen	222929	264	5.41	0.0012	1e-04	90.267	2.591
hydrochlorothiazide	hydrocodone	simvastatin	triamterene	acetaminophen	220982	2359	4.69	0.0107	1e-04	224.083	1.789
