drug_concept_name	rxcui	atc	atc_class_name	drug_cost_per_day	UMLS_CUI	DrugBankID
17-alpha-hydroxyprogesterone	5542	G03DA03	Sex hormones and modulators of the genital system	NA	C0045010	DB06789
abacavir	190521	J05AF06	Antivirals for systemic use	29.43	C0663655	DB01048
abarelix	301739	L02BX01	Endocrine therapy	NA	C0965390	DB00106
abatacept	614391	L04AA24	Immunosuppressants	81.68	C1619966	DB01281
abciximab	83929	B01AC13	Antithrombotic agents	23.15	C0288672	DB00054
abiraterone	1100072	L02BX03	Endocrine therapy	205.78	C0754011	DB05812
acamprosate	82819	N07BB03	Other nervous system drugs	4.35	C0284941	DB00659
acarbose	16681	A10BF01	Drugs used in diabetes	1.77	C0050393	DB00284
acebutolol	149	C07AB04	Beta blocking agents	0.66	C0000946	DB01193
acenocoumarol	154	B01AA07	Antithrombotic agents	NA	C0000956	DB01418
acepromazine	155	N05AA04	Psycholeptics	0	C0000959	DB01614
acetaminophen	161	N02BE01	Analgesics	1.39	C0000970	DB00316
acetazolamide	167	S01EC01	Ophthalmologicals	2.58	C0000981	DB00819
acetic acid	168	S02AA10	Otologicals	7.98	C0000983	DB03166
acetohexamide	173	A10BB31	Drugs used in diabetes	NA	C0000992	NA
acetohydroxamic acid	16728	G04BX03	Urologicals	3.22	C0050451	DB00551
acetophenazine	16735	N05AB07	Psycholeptics	NA	C0050458	DB01063
acetylcholine	194	S01EB09	Ophthalmologicals	7.84	C0001041	DB03128
acetylcysteine	197	S01XA08	Ophthalmologicals	3.39	C0001047	DB06151
acetyldigitoxin	132871	C01AA01	Cardiac therapy	NA	C0520442	DB00511
acitretin	16818	D05BB02	Antipsoriatics	37.81	C0050559	DB00459
aclidinium	1303098	R03BB05	Drugs for obstructive airway diseases	10.68	C2699757	DB08897
acrivastine	19959	R06AX18	Antihistamines for systemic use	4.89	C0054340	DB09488
acyclovir	281	D06BB03	Antibiotics and chemotherapeutics for dermatological use	5.06	C0001367	DB00787
adalimumab	327361	L04AB04	Immunosuppressants	78.8	C1122087	DB00051
adapalene	60223	D10AD03	Anti-acne preparations	7.66	C0165631	DB00210
adefovir	16521	J05AF08	Antivirals for systemic use	24.71	C0050175	DB00718
adenosine	296	C01EB10	Cardiac therapy	4.77	C0001443	DB00640
agalsidase beta	338817	A16AB04	Other alimentary tract and metabolism products	808.42	C1137427	DB00103
ajmaline	423	C01BA05	Cardiac therapy	NA	C0001888	DB01426
albendazole	430	P02CA03	Anthelmintics	51.36	C0001911	DB00518
albuterol	435	R03AC02	Drugs for obstructive airway diseases	2.08	C0001927	DB01001
alcaftadine	1000082	S01GX11	Ophthalmologicals	4.98	C2348241	DB06766
alclometasone	108088	S01BA10	Ophthalmologicals	2.14	C0360534	DB00240
aldesleukin	70223	L03AC01	Immunostimulants	289.39	C0218986	DB00041
alefacept	299635	L04AA15	Immunosuppressants	139.41	C0962603	DB00092
alemtuzumab	117055	L04AA34	Immunosuppressants	737.72	C0383429	DB00087
alendronate	46041	M05BA04	Drugs for treatment of bone diseases	1.05	C0102118	DB00630
alfacalcidol	12062	A11CC03	Vitamins	NA	C0044410	DB01436
alfentanil	480	N01AH02	Anesthetics	2.35	C0002026	DB00802
alfuzosin	17300	G04CA01	Urologicals	2.4	C0051150	DB00346
alglucerase	46049	A16AB01	Other alimentary tract and metabolism products	284.12	C0102139	DB00088
alglucosidase alfa	629565	A16AB07	Other alimentary tract and metabolism products	2411.17	C1695579	DB01272
aliskiren	325646	C09XA02	Agents acting on the renin-angiotensin system	2.93	C1120110	DB09026
